UID,Apply at advertiser's site
327088,False
325901,False
324925,False
326824,False
326293,False
329065,False
325691,False
326045,False
326493,False
326869,False
327033,False
326542,False
326709,False
326738,False
326362,False
310262,False
326314,False
326893,False
326794,False
324770,False
326882,False
325337,False
326784,False
326831,False
326814,False
326370,False
323828,False
326813,False
325703,False
325333,False
281597,False
326795,False
326764,False
326200,False
323835,False
326744,False
326727,False
321563,False
326177,False
326386,False
326673,False
326675,False
326563,False
326652,False
326396,False
324841,False
324359,False
326648,False
324957,False
326042,False
324623,False
325904,False
324774,False
326621,False
326539,False
326531,False
326506,False
326476,False
322737,False
326429,False
326323,False
326289,False
326086,False
325867,False
325852,False
324753,False
325347,False
324773,False
325458,False
325277,False
325410,False
325401,False
325374,False
314120,False
324678,False
325293,False
324694,False
324319,False
324644,False
323021,False
323158,False
323089,False
324107,False
321344,False
321097,False
320421,False
320359,False
311526,False
309036,False
322852,False
326834,False
323587,False
326091,False
326084,False
324699,False
322833,False
323614,False
326889,False
322304,False
327326,False
326584,False
326225,False
327162,False
326653,False
327118,False
321989,False
325902,False
327096,False
327095,False
326964,False
327064,False
317893,False
327055,False
327045,False
327056,False
326363,False
327044,False
327039,False
326995,False
326999,False
326011,False
320286,False
326986,False
326354,False
326796,False
326966,False
325615,False
326951,False
326954,False
326942,False
326937,False
326418,False
326907,False
326908,False
311339,False
326902,False
325155,False
326125,False
326502,False
326835,False
326790,False
326770,False
326730,False
326716,False
326711,False
325666,False
326250,False
326286,False
326487,False
325630,False
324519,False
316812,False
324804,False
316801,False
326211,False
323686,False
325540,False
324702,False
325561,False
325564,False
325572,False
325569,False
325566,False
325568,False
325539,False
325577,False
325545,False
325554,False
325562,False
326049,False
326016,False
325918,False
325920,False
325916,False
325846,False
325685,False
324884,False
325557,False
324971,False
325309,False
325260,False
325186,False
325084,False
322532,False
324382,False
324373,False
324362,False
324358,False
324230,False
324350,False
324396,False
324040,False
324038,False
323996,False
323984,False
323426,False
323689,False
323491,False
323434,False
323417,False
323285,False
300950,False
324145,False
324135,False
324104,False
323860,False
323004,False
322182,False
321772,False
321494,False
320848,False
321159,False
319338,False
319311,False
319078,False
317681,False
317517,False
318183,False
317560,False
317557,False
317549,False
317541,False
317534,False
317580,False
317526,False
314641,False
314921,False
300392,False
303052,False
268981,False
326319,False
327246,False
327241,False
325636,False
326892,False
327700,False
326444,False
326006,False
323534,False
327353,False
327310,False
327305,False
327304,False
327288,False
327282,False
327281,False
327278,False
327218,False
325514,False
326464,False
325682,False
326754,False
324500,False
327191,False
326136,False
327164,False
326163,False
327159,False
325048,False
326373,False
319478,False
320617,False
326387,False
325580,False
327137,False
327124,False
327087,False
326614,False
326160,False
327093,False
326236,False
327034,False
327030,False
327008,False
327027,False
327019,False
323909,False
327006,False
327001,False
326985,False
326994,False
326974,False
326938,False
326220,False
326916,False
326833,False
326748,False
326691,False
325234,False
326241,False
326562,False
326553,False
326526,False
326471,False
326427,False
326000,False
325885,False
325854,False
325850,False
323556,False
324755,False
325306,False
325272,False
325224,False
317962,False
323384,False
324589,False
324524,False
323957,False
322226,False
317510,False
316929,False
313979,False
223695,False
277379,False
326818,False
326446,False
326448,False
326807,False
326431,False
326864,False
325081,False
327094,False
328750,False
327295,False
