UID,Making Effective Decisions,Managing a Quality Service,Leadership,Developing Self and Others,Seeing the Big Picture,Changing and Improving,Delivering at Pace,Working Together,Communicating and Influencing
326413,False,False,False,False,False,False,False,False,False
322436,False,False,False,False,False,False,False,False,False
325725,False,False,False,False,False,False,False,False,False
325115,False,False,False,False,False,False,False,False,False
325181,False,False,False,False,False,False,False,False,False
324226,False,False,False,False,False,False,False,False,False
323332,False,False,False,False,False,False,False,False,False
326624,False,False,False,False,False,False,False,False,False
326612,False,False,False,False,False,False,False,False,False
326597,False,False,False,False,False,False,False,False,False
326593,False,False,False,False,False,False,False,False,False
326575,False,False,False,False,False,False,False,False,False
326568,False,False,False,False,False,False,False,False,False
326556,False,False,False,False,False,False,False,False,False
325202,False,False,False,False,False,False,False,False,False
326513,False,False,False,False,False,False,False,False,False
326508,False,False,False,False,False,False,False,False,False
325755,False,False,False,False,False,False,False,False,False
324058,False,False,False,False,False,False,False,False,False
326500,False,False,False,False,False,False,False,False,False
326484,False,False,False,False,False,False,False,False,False
324997,False,False,False,False,False,False,False,False,False
326447,False,False,False,False,False,False,False,False,False
326441,False,False,False,False,False,False,False,False,False
